,postalCode,typeProperty,subtypeProperty,price,typeSale,subtypeSale,BedroomsCount,area,hasFullyEquippedKitchen,kitchenType,isFurnished,fireplaceExists,hasTerrace,terraceSurface,hasGarden,gardenSurface,landSurface,facadeCount,hasSwimmingPool,buildingCondition
71,6836,HOUSE,CHALET,99000.0,FOR_SALE,BUY_REGULAR,2.0,62.0,0.0,NOT_INSTALLED,0,0,1,8.0,1,94.0,150,4.0,0,TO_RENOVATE
72,6810,HOUSE,APARTMENT_BLOCK,215000.0,FOR_SALE,BUY_REGULAR,4.0,255.0,0.0,SEMI_EQUIPPED,0,0,0,,0,,0,2.0,0,GOOD
73,3360,HOUSE,HOUSE,415000.0,FOR_SALE,BUY_REGULAR,5.0,182.0,,,0,0,0,,1,502.0,597,2.0,0,GOOD
74,1000,HOUSE,MIXED_USE_BUILDING,680000.0,FOR_SALE,BUY_REGULAR,,190.0,,,0,0,0,,0,,80,2.0,0,TO_RENOVATE
75,9400,HOUSE,BUNGALOW,475000.0,FOR_SALE,BUY_REGULAR,3.0,225.0,0.0,INSTALLED,0,0,1,,1,1800.0,2254,4.0,0,GOOD
76,2840,HOUSE,HOUSE,159000.0,FOR_SALE,BUY_REGULAR,3.0,135.0,0.0,SEMI_EQUIPPED,0,0,1,21.0,1,77.0,217,3.0,0,TO_RENOVATE
77,9051,HOUSE,VILLA,725000.0,FOR_SALE,BUY_REGULAR,3.0,380.0,0.0,INSTALLED,0,1,1,,1,,2317,4.0,0,GOOD
78,1930,HOUSE,HOUSE,992000.0,FOR_SALE,BUY_REGULAR,5.0,438.0,0.0,HYPER_EQUIPPED,1,1,0,,1,,358,3.0,0,AS_NEW
79,2590,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
80,4400,HOUSE,HOUSE,115000.0,FOR_SALE,BUY_REGULAR,1.0,90.0,0.0,INSTALLED,0,0,1,24.0,0,,70,2.0,0,GOOD
81,4430,HOUSE,HOUSE,115000.0,FOR_SALE,BUY_REGULAR,3.0,125.0,0.0,NOT_INSTALLED,0,0,0,,0,,77,2.0,0,TO_RENOVATE
82,4030,HOUSE,MIXED_USE_BUILDING,129000.0,FOR_SALE,BUY_REGULAR,3.0,156.0,0.0,NOT_INSTALLED,0,0,0,,0,,71,2.0,0,TO_BE_DONE_UP
83,4020,HOUSE,TOWN_HOUSE,130000.0,FOR_SALE,BUY_REGULAR,2.0,129.0,0.0,NOT_INSTALLED,0,0,0,,0,,91,2.0,0,TO_RENOVATE
84,9600,HOUSE,HOUSE,139000.0,FOR_SALE,BUY_REGULAR,2.0,130.0,0.0,INSTALLED,0,0,0,,0,,50,2.0,0,GOOD
85,9600,HOUSE,HOUSE,149000.0,FOR_SALE,BUY_REGULAR,3.0,150.0,0.0,NOT_INSTALLED,0,0,0,,1,20.0,90,2.0,0,TO_BE_DONE_UP
86,9600,HOUSE,HOUSE,159000.0,FOR_SALE,BUY_REGULAR,5.0,207.0,0.0,INSTALLED,0,0,1,,0,,160,2.0,0,TO_RENOVATE
87,4000,HOUSE,HOUSE,160000.0,FOR_SALE,BUY_REGULAR,4.0,165.0,0.0,NOT_INSTALLED,0,0,0,,1,96.0,183,3.0,0,TO_RENOVATE
88,4340,HOUSE,HOUSE,169000.0,FOR_SALE,BUY_REGULAR,3.0,120.0,0.0,NOT_INSTALLED,0,0,1,13.0,1,280.0,484,2.0,0,TO_RENOVATE
89,4430,HOUSE,HOUSE,175000.0,FOR_SALE,BUY_REGULAR,2.0,84.0,0.0,NOT_INSTALLED,0,0,1,11.0,1,90.0,178,4.0,0,TO_RENOVATE
90,4340,HOUSE,HOUSE,179000.0,FOR_SALE,BUY_REGULAR,2.0,100.0,0.0,INSTALLED,0,0,0,,1,177.0,260,2.0,0,GOOD
91,4460,HOUSE,HOUSE,179000.0,FOR_SALE,BUY_REGULAR,3.0,150.0,0.0,HYPER_EQUIPPED,0,0,1,,0,,134,3.0,0,GOOD
92,9600,HOUSE,HOUSE,179900.0,FOR_SALE,BUY_REGULAR,4.0,140.0,0.0,INSTALLED,0,0,0,,0,,70,2.0,0,JUST_RENOVATED
93,4800,HOUSE,HOUSE,180000.0,FOR_SALE,BUY_REGULAR,5.0,200.0,0.0,INSTALLED,0,0,1,10.0,1,122.0,215,2.0,0,GOOD
94,4030,HOUSE,HOUSE,185000.0,FOR_SALE,BUY_REGULAR,3.0,108.0,0.0,INSTALLED,0,0,1,12.0,0,,70,2.0,0,GOOD
95,4520,HOUSE,HOUSE,185000.0,FOR_SALE,BUY_REGULAR,2.0,85.0,0.0,INSTALLED,0,0,1,20.0,1,500.0,653,2.0,0,GOOD
96,4000,HOUSE,APARTMENT_BLOCK,189000.0,FOR_SALE,BUY_REGULAR,3.0,140.0,0.0,SEMI_EQUIPPED,0,0,1,,1,143.0,192,3.0,0,TO_BE_DONE_UP
97,6690,HOUSE,HOUSE,189000.0,FOR_SALE,BUY_REGULAR,4.0,218.0,0.0,SEMI_EQUIPPED,0,0,1,,1,475.0,625,3.0,0,GOOD
98,9600,HOUSE,HOUSE,189000.0,FOR_SALE,BUY_REGULAR,2.0,162.0,0.0,INSTALLED,0,0,1,10.0,1,50.0,170,2.0,0,GOOD
99,4180,HOUSE,HOUSE,195000.0,FOR_SALE,BUY_REGULAR,3.0,242.0,0.0,SEMI_EQUIPPED,0,0,1,36.0,1,100.0,475,3.0,0,GOOD
100,9600,HOUSE,MIXED_USE_BUILDING,195000.0,FOR_SALE,BUY_REGULAR,4.0,201.0,0.0,NOT_INSTALLED,0,0,1,15.0,1,105.0,370,2.0,0,TO_RENOVATE
101,4040,HOUSE_GROUP,HOUSE_GROUP,,FOR_SALE,BUY_REGULAR,,,,,0,0,0,,0,,0,,0,
